bb_measure_code	period_code	grade_code	color_name	min_score	max_score
kReadAccuracy	ap1	1	red	0.0	15.0
kReadAccuracy	ap1	1	yellow	15.0	84.0
kReadAccuracy	ap1	1	green	84.0	9999.0
kReadAccuracy	ap2	1	red	0.0	15.0
kReadAccuracy	ap2	1	yellow	15.0	84.0
kReadAccuracy	ap2	1	green	84.0	9999.0
kReadAccuracy	ap3	1	red	0.0	15.0
kReadAccuracy	ap3	1	yellow	15.0	84.0
kReadAccuracy	ap3	1	green	84.0	9999.0
kReadFluency	ap1	1	red	0.0	15.0
kReadFluency	ap1	1	yellow	15.0	84.0
kReadFluency	ap1	1	green	84.0	9999.0
kReadFluency	ap2	1	red	0.0	15.0
kReadFluency	ap2	1	yellow	15.0	84.0
kReadFluency	ap2	1	green	84.0	9999.0
kReadFluency	ap3	1	red	0.0	15.0
kReadFluency	ap3	1	yellow	15.0	84.0
kReadFluency	ap3	1	green	84.0	9999.0
mazeAdjScore	ap1	1	red	0.0	15.0
mazeAdjScore	ap1	1	yellow	15.0	84.0
mazeAdjScore	ap1	1	green	84.0	9999.0
mazeAdjScore	ap2	1	red	0.0	15.0
mazeAdjScore	ap2	1	yellow	15.0	84.0
mazeAdjScore	ap2	1	green	84.0	9999.0
mazeAdjScore	ap3	1	red	0.0	15.0
mazeAdjScore	ap3	1	yellow	15.0	84.0
mazeAdjScore	ap3	1	green	84.0	9999.0
mazePercent	ap1	1	red	0.0	15.0
mazePercent	ap1	1	yellow	15.0	84.0
mazePercent	ap1	1	green	84.0	9999.0
mazePercent	ap2	1	red	0.0	15.0
mazePercent	ap2	1	yellow	15.0	84.0
mazePercent	ap2	1	green	84.0	9999.0
mazePercent	ap3	1	red	0.0	15.0
mazePercent	ap3	1	yellow	15.0	84.0
mazePercent	ap3	1	green	84.0	9999.0
mazeStandardScore	ap1	1	red	0.0	15.0
mazeStandardScore	ap1	1	yellow	15.0	84.0
mazeStandardScore	ap1	1	green	84.0	9999.0
mazeStandardScore	ap2	1	red	0.0	15.0
mazeStandardScore	ap2	1	yellow	15.0	84.0
mazeStandardScore	ap2	1	green	84.0	9999.0
mazeStandardScore	ap3	1	red	0.0	15.0
mazeStandardScore	ap3	1	yellow	15.0	84.0
mazeStandardScore	ap3	1	green	84.0	9999.0
readCompPercent	ap1	1	red	0.0	15.0
readCompPercent	ap1	1	yellow	15.0	84.0
readCompPercent	ap1	1	green	84.0	9999.0
readCompPercent	ap2	1	red	0.0	15.0
readCompPercent	ap2	1	yellow	15.0	84.0
readCompPercent	ap2	1	green	84.0	9999.0
readCompPercent	ap3	1	red	0.0	15.0
readCompPercent	ap3	1	yellow	15.0	84.0
readCompPercent	ap3	1	green	84.0	9999.0
spellPercent	ap1	1	red	0.0	15.0
spellPercent	ap1	1	yellow	15.0	84.0
spellPercent	ap1	1	green	84.0	9999.0
spellPercent	ap2	1	red	0.0	15.0
spellPercent	ap2	1	yellow	15.0	84.0
spellPercent	ap2	1	green	84.0	9999.0
spellPercent	ap3	1	red	0.0	15.0
spellPercent	ap3	1	yellow	15.0	84.0
spellPercent	ap3	1	green	84.0	9999.0
success	ap1	1	red	0.0	15.0
success	ap1	1	yellow	15.0	84.0
success	ap1	1	green	84.0	9999.0
success	ap2	1	red	0.0	15.0
success	ap2	1	yellow	15.0	84.0
success	ap2	1	green	84.0	9999.0
success	ap3	1	red	0.0	15.0
success	ap3	1	yellow	15.0	84.0
success	ap3	1	green	84.0	9999.0
vocPercent	ap1	1	red	0.0	15.0
vocPercent	ap1	1	yellow	15.0	84.0
vocPercent	ap1	1	green	84.0	9999.0
vocPercent	ap2	1	red	0.0	15.0
vocPercent	ap2	1	yellow	15.0	84.0
vocPercent	ap2	1	green	84.0	9999.0
vocPercent	ap3	1	red	0.0	15.0
vocPercent	ap3	1	yellow	15.0	84.0
vocPercent	ap3	1	green	84.0	9999.0
vocRawScore	ap1	1	red	0.0	15.0
vocRawScore	ap1	1	yellow	15.0	84.0
vocRawScore	ap1	1	green	84.0	9999.0
vocRawScore	ap2	1	red	0.0	15.0
vocRawScore	ap2	1	yellow	15.0	84.0
vocRawScore	ap2	1	green	84.0	9999.0
vocRawScore	ap3	1	red	0.0	15.0
vocRawScore	ap3	1	yellow	15.0	84.0
vocRawScore	ap3	1	green	84.0	9999.0
wordAnalysisPercent	ap1	1	red	0.0	15.0
wordAnalysisPercent	ap1	1	yellow	15.0	84.0
wordAnalysisPercent	ap1	1	green	84.0	9999.0
wordAnalysisPercent	ap2	1	red	0.0	15.0
wordAnalysisPercent	ap2	1	yellow	15.0	84.0
wordAnalysisPercent	ap2	1	green	84.0	9999.0
wordAnalysisPercent	ap3	1	red	0.0	15.0
wordAnalysisPercent	ap3	1	yellow	15.0	84.0
wordAnalysisPercent	ap3	1	green	84.0	9999.0
wordAnalysisStandard	ap1	1	red	0.0	15.0
wordAnalysisStandard	ap1	1	yellow	15.0	84.0
wordAnalysisStandard	ap1	1	green	84.0	9999.0
wordAnalysisStandard	ap2	1	red	0.0	15.0
wordAnalysisStandard	ap2	1	yellow	15.0	84.0
wordAnalysisStandard	ap2	1	green	84.0	9999.0
wordAnalysisStandard	ap3	1	red	0.0	15.0
wordAnalysisStandard	ap3	1	yellow	15.0	84.0
wordAnalysisStandard	ap3	1	green	84.0	9999.0
kReadAccuracy	ap1	10	red	0.0	15.0
kReadAccuracy	ap1	10	yellow	15.0	84.0
kReadAccuracy	ap1	10	green	84.0	9999.0
kReadAccuracy	ap2	10	red	0.0	15.0
kReadAccuracy	ap2	10	yellow	15.0	84.0
kReadAccuracy	ap2	10	green	84.0	9999.0
kReadAccuracy	ap3	10	red	0.0	15.0
kReadAccuracy	ap3	10	yellow	15.0	84.0
kReadAccuracy	ap3	10	green	84.0	9999.0
kReadFluency	ap1	10	red	0.0	15.0
kReadFluency	ap1	10	yellow	15.0	84.0
