bb_group_code	bb_measure_code	bb_measure_item_code	moniker	sort_order	swatch_code	score_sort_type_code	active_flag	dynamic_creation_flag
nwea	langSurveyWGoals	goalAdj5Fall	"Goal Adjective 5 - Fall"	14.00		a	1	0
nwea	langSurveyWGoals	goalAdj5Spg	"Goal Adjective 5 - Spring"	114.00		a	1	0
nwea	langSurveyWGoals	goalIRITAdj6Fall	"Goal Adjective 6 - Fall"	16.00		a	1	0
nwea	langSurveyWGoals	goalIRITAdj6Spg	"Goal Adjective 6 - Spring"	116.00		a	1	0
nwea	langSurveyWGoals	goalIRITScore6Fall	"Goal IRIT Score 6 - Fall"	15.00		n	1	0
nwea	langSurveyWGoals	goalIRITScore6Spg	"Goal IRIT Score 6 - Spring"	115.00		n	1	0
nwea	langSurveyWGoals	goalRITAdj7Fall	"Goal Adjective 7 - Fall"	18.00		a	1	0
nwea	langSurveyWGoals	goalRITAdj7Spg	"Goal Adjective 7 - Spring"	118.00		a	1	0
nwea	langSurveyWGoals	goalRitScore5Fall	"Goal RIT Score 5 - Fall"	13.00		n	1	0
nwea	langSurveyWGoals	goalRitScore5Spg	"Goal RIT Score 5 - Spring"	113.00		n	1	0
nwea	langSurveyWGoals	goalRITScore7Fall	"Goal RIT Score 7 - Fall"	17.00		n	1	0
nwea	langSurveyWGoals	goalRITScore7Spg	"Goal RIT Score 7 - Spring"	117.00		n	1	0
nwea	langSurveyWGoals	growtMeasureYNFall	"Growth Measure - Fall"	21.00	pmiRedGreen	a	1	0
nwea	langSurveyWGoals	growtMeasureYNSpg	"Growth Measure - Spring"	121.00	pmiRedGreen	a	1	0
nwea	langSurveyWGoals	ritToReadingMaxFall	"RIT to Reading Max - Fall"	20.00		n	1	0
nwea	langSurveyWGoals	ritToReadingMaxSpg	"RIT to Reading Max - Spring"	120.00		n	1	0
nwea	langSurveyWGoals	ritToReadingMinFall	"RIT to Reading Min - Fall"	19.00		n	1	0
nwea	langSurveyWGoals	ritToReadingMinSpg	"RIT to Reading Min - Spring"	119.00		n	1	0
nwea	langSurveyWGoals	ritToReadingScoreFall	"RIT to Reading Score - Fall"	4.00		n	1	0
nwea	langSurveyWGoals	ritToReadingScoreSpg	"RIT to Reading Score - Spring"	104.00		n	1	0
nwea	langSurveyWGoals	stdntApplyWritgSkillGoalAdj1Fall	"Students Apply Writing Skills: Goal Adjective 1 - Fall"	6.00		a	1	0
